,t,o,h,l,c,v
0,1546300800000,0.04057,0.04059,0.03995,0.04035,5902479.6
1,1546304400000,0.0404,0.04048,0.03987,0.04,3739370.5
2,1546308000000,0.04004,0.04004,0.03964,0.03991,3615775.0
3,1546311600000,0.03988,0.04021,0.03985,0.0402,2419828.6
4,1546315200000,0.0402,0.04068,0.04017,0.04043,5649221.7
5,1546318800000,0.04043,0.04063,0.04043,0.04054,2481852.4
6,1546322400000,0.04051,0.04068,0.04031,0.04061,2260878.5
7,1546326000000,0.04062,0.04092,0.04053,0.0409,2388365.3
8,1546329600000,0.04091,0.04123,0.04071,0.04105,4287639.0
9,1546333200000,0.04106,0.04106,0.04057,0.04069,2337016.7
10,1546336800000,0.04066,0.041,0.04064,0.04089,3271358.0
11,1546340400000,0.04092,0.04099,0.04074,0.04076,1522622.6
12,1546344000000,0.04076,0.04121,0.04053,0.04103,3054037.1
13,1546347600000,0.041,0.04138,0.04066,0.04094,4746120.8
14,1546351200000,0.04093,0.04093,0.04014,0.04045,7921250.2
15,1546354800000,0.04045,0.04045,0.04005,0.04032,6086012.2
16,1546358400000,0.04035,0.04055,0.04018,0.04053,2863849.9
17,1546362000000,0.04052,0.04055,0.0402,0.04034,3549921.3
18,1546365600000,0.04035,0.04039,0.0399,0.04008,3922756.2
19,1546369200000,0.04007,0.04099,0.04005,0.04086,5294340.5
20,1546372800000,0.04084,0.04167,0.04083,0.04134,13670857.9
21,1546376400000,0.04132,0.04172,0.041,0.04118,5767660.3
22,1546380000000,0.04117,0.0414,0.04091,0.0413,3639706.7
23,1546383600000,0.0413,0.042,0.04111,0.04198,9497418.6
24,1546387200000,0.04195,0.04219,0.0416,0.04191,7620794.4
25,1546390800000,0.04192,0.04198,0.04154,0.04157,3779632.3
26,1546394400000,0.04162,0.0418,0.0415,0.04172,1421055.1
27,1546398000000,0.04172,0.04209,0.0416,0.04173,3661212.5
28,1546401600000,0.04174,0.04182,0.04155,0.04178,2239711.7
29,1546405200000,0.04177,0.04177,0.0415,0.04165,1309974.7
30,1546408800000,0.04167,0.04175,0.04117,0.0414,2669392.8
31,1546412400000,0.0414,0.04198,0.04131,0.04176,6562305.2
32,1546416000000,0.04181,0.04242,0.04176,0.04213,7915456.1
33,1546419600000,0.04213,0.04216,0.04176,0.04182,3035721.4
34,1546423200000,0.04184,0.04275,0.0417,0.04253,4181561.3
35,1546426800000,0.04253,0.04333,0.0423,0.04276,10775592.5
36,1546430400000,0.04269,0.04289,0.04238,0.04288,4672057.6
37,1546434000000,0.04288,0.0434,0.04269,0.04311,9564761.4
38,1546437600000,0.04309,0.04325,0.0426,0.04289,8999771.4
39,1546441200000,0.04289,0.04291,0.04221,0.04251,4799984.9
40,1546444800000,0.04252,0.04387,0.0425,0.04333,12858802.4
41,1546448400000,0.04333,0.04345,0.0429,0.04329,8403277.9
42,1546452000000,0.04329,0.04371,0.04296,0.04359,4759220.3
43,1546455600000,0.0436,0.04377,0.04327,0.04361,10130266.0
44,1546459200000,0.04362,0.04399,0.04331,0.04392,5401035.3
45,1546462800000,0.04391,0.04435,0.04368,0.04425,12284826.6
46,1546466400000,0.04428,0.04474,0.044,0.04468,7343077.5
47,1546470000000,0.04472,0.04543,0.04416,0.04433,17294190.9
48,1546473600000,0.04432,0.04462,0.04312,0.04337,11470218.9
49,1546477200000,0.04329,0.04376,0.04305,0.04344,9498915.4
50,1546480800000,0.04345,0.04408,0.04333,0.04356,7166976.5
51,1546484400000,0.04357,0.04389,0.0434,0.04382,2793062.5
52,1546488000000,0.04377,0.04406,0.04363,0.04363,7074631.9
53,1546491600000,0.04364,0.04387,0.043,0.04336,7751438.8
54,1546495200000,0.04338,0.04353,0.04325,0.04338,2661280.6
55,1546498800000,0.04342,0.04356,0.04317,0.04335,6654561.9
56,1546502400000,0.04335,0.04335,0.04252,0.04262,6765812.1
57,1546506000000,0.04261,0.04284,0.04227,0.04252,8368882.4
58,1546509600000,0.04252,0.043,0.04247,0.04291,4212416.7
