,t,o,h,l,c,v
0,1577836800000,13.7159,13.7211,13.6903,13.6981,62016.69
1,1577840400000,13.6981,13.8,13.6953,13.7995,53791.25
2,1577844000000,13.7984,13.8488,13.7906,13.8478,75200.49
3,1577847600000,13.8461,13.85,13.7855,13.817,35995.97
4,1577851200000,13.8157,13.8262,13.7801,13.7922,34409.55
5,1577854800000,13.7968,13.8144,13.7889,13.8007,42875.03
6,1577858400000,13.8007,13.8501,13.7988,13.8203,25277.73
7,1577862000000,13.8217,13.8327,13.7428,13.7608,30358.71
8,1577865600000,13.7618,13.7621,13.699,13.7299,35420.2
9,1577869200000,13.7289,13.7375,13.696,13.7019,30886.37
10,1577872800000,13.7013,13.7477,13.6813,13.7434,37495.1
11,1577876400000,13.7453,13.8125,13.7079,13.719,67448.75
12,1577880000000,13.719,13.8,13.7168,13.7998,47472.23
13,1577883600000,13.7985,13.8449,13.7918,13.812,32611.65
14,1577887200000,13.8199,13.8692,13.7785,13.8274,33912.33
15,1577890800000,13.8315,13.86,13.7786,13.8223,36272.79
16,1577894400000,13.8223,13.8661,13.7861,13.8522,33623.98
17,1577898000000,13.8577,13.8671,13.7,13.7918,44538.94
18,1577901600000,13.7908,13.7984,13.6715,13.73,44745.17
19,1577905200000,13.7351,13.7477,13.7044,13.7229,27193.2
20,1577908800000,13.7229,13.7658,13.7134,13.7468,29307.49
21,1577912400000,13.7481,13.7612,13.7307,13.7537,22286.2
22,1577916000000,13.747,13.747,13.66,13.6811,25052.06
23,1577919600000,13.681,13.7184,13.65,13.7184,32433.16
24,1577923200000,13.7072,13.7302,13.6706,13.7123,50837.84
25,1577926800000,13.7164,13.7165,13.6554,13.6723,48916.59
26,1577930400000,13.6671,13.6671,13.5415,13.584,39087.79
27,1577934000000,13.5812,13.5812,13.51,13.5205,22832.19
28,1577937600000,13.5221,13.577,13.5098,13.5293,64578.48
29,1577941200000,13.5293,13.5588,13.511,13.5262,53016.61
30,1577944800000,13.5252,13.5378,13.4201,13.4585,49428.91
31,1577948400000,13.4587,13.4862,13.4201,13.449,22032.77
32,1577952000000,13.449,13.5376,13.4403,13.529,30835.27
33,1577955600000,13.53,13.5508,13.4701,13.5484,33176.93
34,1577959200000,13.5495,13.569,13.5011,13.5281,36627.96
35,1577962800000,13.5271,13.5313,13.4637,13.4821,36408.85
36,1577966400000,13.4811,13.5284,13.4609,13.4963,35497.46
37,1577970000000,13.4939,13.4999,13.3511,13.4115,51619.64
38,1577973600000,13.42,13.46,13.3921,13.4055,27156.49
