,t,o,h,l,c,v
0,1546300800000,3701.23,3713.0,3689.88,3700.31,686.36742
1,1546304400000,3700.2,3702.73,3684.22,3689.69,613.539115
2,1546308000000,3689.67,3695.95,3675.04,3690.0,895.302181
3,1546311600000,3690.0,3699.77,3685.78,3693.13,796.714818
4,1546315200000,3692.32,3720.0,3685.94,3692.71,1317.452909
5,1546318800000,3693.98,3704.44,3692.73,3699.94,572.402228
6,1546322400000,3699.95,3713.93,3697.0,3703.56,660.279771
7,1546326000000,3703.63,3726.64,3703.34,3713.83,823.625491
8,1546329600000,3714.19,3731.19,3707.0,3716.7,887.101362
9,1546333200000,3716.98,3732.0,3696.14,3699.95,955.879034
10,1546336800000,3699.96,3717.11,3698.0,3713.07,534.113945
11,1546340400000,3713.07,3722.22,3706.88,3707.54,600.664642
12,1546344000000,3707.56,3725.0,3698.25,3717.0,654.27771
13,1546347600000,3717.0,3756.94,3708.41,3715.93,941.785695
14,1546351200000,3715.23,3717.0,3684.21,3698.53,1127.366632
15,1546354800000,3698.28,3698.87,3666.01,3682.61,996.688532
16,1546358400000,3683.0,3696.23,3677.48,3693.54,629.18028
17,1546362000000,3693.5,3701.68,3675.01,3686.32,380.215487
18,1546365600000,3686.34,3686.35,3642.0,3659.41,1083.207096
19,1546369200000,3659.56,3699.99,3659.56,3696.73,1155.513112
20,1546372800000,3696.71,3726.93,3675.67,3719.0,2021.170948
21,1546376400000,3719.0,3730.01,3700.0,3708.21,1105.501735
22,1546380000000,3707.98,3717.07,3692.42,3711.2,624.620136
23,1546383600000,3712.85,3810.16,3706.43,3797.14,3678.716754
24,1546387200000,3796.45,3810.0,3763.75,3778.02,2094.025159
25,1546390800000,3778.62,3792.0,3765.75,3770.0,912.811113
26,1546394400000,3769.98,3785.1,3768.0,3783.28,719.302757
27,1546398000000,3783.28,3796.22,3773.79,3779.98,770.368067
28,1546401600000,3780.0,3788.31,3765.0,3776.41,748.260209
29,1546405200000,3776.16,3778.42,3768.0,3773.04,415.849513
30,1546408800000,3773.04,3775.0,3750.45,3758.53,916.986058
31,1546412400000,3758.53,3778.54,3755.4,3771.08,1338.79474
32,1546416000000,3772.64,3800.0,3770.09,3781.35,2216.579225
33,1546419600000,3780.81,3786.24,3770.0,3775.0,1483.627847
34,1546423200000,3773.84,3794.4,3770.03,3788.0,1117.136593
35,1546426800000,3788.22,3803.68,3777.82,3787.97,1395.941655
36,1546430400000,3788.81,3793.72,3778.23,3792.51,1179.766158
37,1546434000000,3793.12,3839.63,3790.82,3825.65,2589.868431
38,1546437600000,3825.19,3834.26,3796.51,3811.24,2325.654093
39,1546441200000,3812.17,3815.0,3785.75,3801.28,1359.581327
40,1546444800000,3802.61,3865.72,3795.0,3824.89,2696.187308
41,1546448400000,3824.89,3845.78,3811.01,3822.6,2166.328561
42,1546452000000,3822.62,3833.0,3807.0,3828.87,1203.590309
43,1546455600000,3827.22,3830.19,3801.14,3824.98,921.475994
44,1546459200000,3824.98,3854.35,3812.34,3849.0,1189.427606
45,1546462800000,3849.27,3876.0,3830.06,3856.68,1770.790639
46,1546466400000,3857.36,3876.0,3842.46,3862.12,1464.303496
47,1546470000000,3861.62,3882.14,3851.0,3858.56,2159.806511
48,1546473600000,3857.57,3862.74,3828.7,3830.78,1754.761595
49,1546477200000,3830.76,3843.24,3821.14,3835.96,1334.960909
50,1546480800000,3835.96,3844.99,3825.85,3833.47,651.947136
51,1546484400000,3833.69,3847.05,3832.0,3841.83,732.021603
52,1546488000000,3841.83,3850.0,3833.7,3834.59,649.628917
53,1546491600000,3834.7,3840.31,3805.0,3824.38,1094.336108
54,1546495200000,3824.38,3829.89,3813.62,3820.53,774.978958
55,1546498800000,3821.81,3837.52,3820.39,3828.88,706.28305
56,1546502400000,3828.88,3832.83,3796.0,3805.0,1539.518737
57,1546506000000,3805.85,3814.96,3783.0,3805.81,1663.638855
58,1546509600000,3806.13,3819.0,3804.07,3811.52,1319.359017
59,1546513200000,3810.61,3813.51,3787.29,3804.0,1649.230215
60,1546516800000,3803.31,3823.0,3795.33,3818.02,1243.81332
61,1546520400000,3817.17,3822.0,3809.35,3817.36,1097.353713
62,1546524000000,3816.64,3817.37,3790.04,3796.7,1187.831704
63,1546527600000,3796.79,3811.89,3785.32,3806.7,1340.266726
64,1546531200000,3807.37,3807.75,3730.0,3738.0,3271.17214
65,1546534800000,3738.71,3762.04,3732.19,3748.46,2025.998359
66,1546538400000,3748.46,3759.33,3738.0,3757.89,1021.63925
67,1546542000000,3757.58,3763.71,3740.11,3756.0,771.584632
68,1546545600000,3756.0,3782.25,3752.37,3780.03,760.416581
69,1546549200000,3779.99,3782.69,3768.23,3771.26,1333.486625
70,1546552800000,3771.27,3781.4,3757.14,3773.79,959.792717
71,1546556400000,3773.42,3775.53,3757.87,3766.78,522.927492
72,1546560000000,3767.2,3767.21,3730.0,3750.3,1249.546728
73,1546563600000,3750.53,3776.89,3749.67,3766.23,793.94147
74,1546567200000,3765.67,3766.48,3750.41,3758.65,583.328094
75,1546570800000,3759.33,3787.65,3752.41,3780.04,981.911562
76,1546574400000,3780.04,3793.0,3761.94,3775.33,1290.111753
77,1546578000000,3776.18,3788.53,3764.37,3779.9,982.013535
78,1546581600000,3779.9,3797.52,3775.92,3783.02,1406.840685
79,1546585200000,3783.34,3800.0,3779.54,3783.28,1150.958402
80,1546588800000,3783.28,3800.0,3766.75,3771.34,1487.042166
81,1546592400000,3771.35,3789.9,3757.0,3764.35,1358.102238
82,1546596000000,3764.03,3777.16,3756.48,3775.48,849.648521
83,1546599600000,3775.46,3777.77,3752.0,3757.55,926.726488
84,1546603200000,3754.05,3765.0,3739.0,3755.52,1467.234732
85,1546606800000,3755.95,3757.52,3742.08,3744.0,1476.93285
86,1546610400000,3744.62,3751.94,3703.62,3717.14,2731.97833
87,1546614000000,3715.58,3728.59,3703.57,3725.28,1424.786802
88,1546617600000,3725.3,3754.0,3717.3,3747.5,1245.430684
89,1546621200000,3747.5,3749.5,3735.03,3745.22,929.209102
90,1546624800000,3745.43,3745.96,3726.99,3730.0,828.895917
91,1546628400000,3730.41,3746.59,3729.02,3739.53,822.286715
92,1546632000000,3739.74,3786.0,3733.46,3764.24,1359.295482
93,1546635600000,3762.36,3823.64,3760.21,3802.36,2242.107164
94,1546639200000,3802.59,3816.18,3778.51,3790.98,1203.466166
95,1546642800000,3792.35,3800.98,3787.57,3792.01,727.759085
96,1546646400000,3790.09,3838.7,3788.97,3811.76,2440.690197
97,1546650000000,3811.79,3827.41,3783.25,3803.58,2262.749078
98,1546653600000,3803.56,3820.13,3802.43,3811.88,1318.638944
99,1546657200000,3813.16,3822.27,3803.25,3815.0,1107.479271
100,1546660800000,3815.35,3826.39,3812.09,3815.72,1224.004168
101,1546664400000,3815.72,3840.99,3815.72,3834.01,1477.733328
102,1546668000000,3834.01,3835.08,3792.0,3799.45,2015.473573
103,1546671600000,3799.71,3804.99,3780.13,3785.15,956.110214
104,1546675200000,3784.37,3798.84,3783.76,3793.56,614.93263
105,1546678800000,3793.01,3796.94,3787.03,3790.36,658.552407
106,1546682400000,3789.72,3793.81,3770.0,3787.94,955.933711
107,1546686000000,3788.79,3812.63,3787.53,3801.26,859.398176
108,1546689600000,3801.03,3811.98,3796.35,3802.47,964.382953
109,1546693200000,3801.79,3802.74,3782.0,3793.84,1386.14167
110,1546696800000,3793.83,3794.89,3778.01,3787.45,1333.232982
111,1546700400000,3787.55,3814.0,3785.02,3785.58,1807.063707
112,1546704000000,3785.58,3805.0,3775.0,3797.19,1663.60144
113,1546707600000,3797.0,3807.99,3795.82,3801.36,1004.571073
114,1546711200000,3801.52,3818.51,3798.26,3809.02,1159.90149
115,1546714800000,3810.0,3820.0,3798.19,3810.98,868.144392
116,1546718400000,3810.89,3812.36,3800.0,3803.68,514.185341
117,1546722000000,3804.95,3812.5,3799.0,3806.57,493.090412
118,1546725600000,3806.33,3810.2,3751.0,3786.62,2574.917606
119,1546729200000,3786.62,3786.63,3766.14,3770.96,829.738988
120,1546732800000,3771.12,3792.12,3761.6,3786.76,964.564428
121,1546736400000,3786.86,3791.98,3761.15,3765.65,1065.356514
122,1546740000000,3765.65,3775.01,3740.0,3771.82,1629.662522
