,t,o,h,l,c,v
0,1546300800000,131.45,132.22,131.01,131.82,12677.96176
1,1546304400000,131.83,131.88,131.0,131.14,9541.84565
2,1546308000000,131.19,131.34,130.0,130.72,12039.04136
3,1546311600000,130.72,131.47,130.71,131.32,6320.30743
4,1546315200000,131.31,134.0,131.3,132.35,29214.64195
5,1546318800000,132.37,132.98,132.37,132.75,6738.65777
6,1546322400000,132.74,133.5,132.67,133.36,6204.28401
7,1546326000000,133.36,134.3,133.01,133.56,10214.95098
8,1546329600000,133.56,135.3,133.19,134.52,16342.20664
9,1546333200000,134.55,134.78,133.55,133.7,14895.3571
10,1546336800000,133.72,134.14,133.66,133.86,6388.10191
11,1546340400000,133.89,134.7,133.71,133.75,6651.35501
12,1546344000000,133.78,134.76,133.17,134.48,11418.68868
13,1546347600000,134.48,136.0,133.87,134.54,12634.38176
14,1546351200000,134.43,134.51,132.95,133.57,13344.36318
15,1546354800000,133.52,133.73,132.26,132.98,15723.74805
16,1546358400000,132.97,133.31,132.5,133.29,5547.57941
17,1546362000000,133.29,133.6,132.52,132.58,5271.94755
18,1546365600000,132.56,132.65,131.0,132.04,14789.61709
19,1546369200000,132.04,135.58,132.04,135.27,25553.45267
20,1546372800000,135.26,139.48,135.16,137.95,67055.85959
21,1546376400000,137.95,139.02,137.0,137.06,29727.81932
22,1546380000000,137.05,137.97,136.21,137.63,18585.43636
23,1546383600000,137.64,140.67,136.71,139.1,44895.28274
24,1546387200000,139.1,140.0,138.07,138.92,33866.97867
25,1546390800000,138.92,140.0,137.76,138.04,16295.357
26,1546394400000,138.02,138.75,137.79,138.59,12044.92321
27,1546398000000,138.59,139.28,138.02,138.67,10906.43754
28,1546401600000,138.66,139.58,138.3,139.18,10134.86636
29,1546405200000,139.19,139.21,138.75,138.91,6609.11869
30,1546408800000,138.91,139.31,138.3,138.99,13868.53292
31,1546412400000,138.99,144.0,138.96,143.48,64269.95592
32,1546416000000,143.48,147.3,143.42,144.57,115673.3497
33,1546419600000,144.58,145.6,143.65,144.62,37872.04809
34,1546423200000,144.66,149.09,144.36,148.65,62152.25443
35,1546426800000,148.66,149.11,146.83,147.81,54684.08836
36,1546430400000,147.82,148.26,146.33,148.07,33789.21198
37,1546434000000,148.02,152.48,147.95,151.9,69139.49486
38,1546437600000,151.9,152.15,149.21,150.55,59634.5631
39,1546441200000,150.55,151.4,146.95,148.62,45716.83941
40,1546444800000,148.62,152.25,147.92,149.24,52356.47664
41,1546448400000,149.21,150.14,147.69,149.06,38895.91176
42,1546452000000,149.02,149.74,147.2,149.2,19781.68169
43,1546455600000,149.21,151.16,148.1,150.49,23029.51629
44,1546459200000,150.5,151.6,149.31,151.18,28040.39021
45,1546462800000,151.19,154.8,150.4,153.55,49663.35339
46,1546466400000,153.54,154.18,151.82,153.67,32984.42499
47,1546470000000,153.67,155.37,151.19,152.01,50076.54003
48,1546473600000,152.01,152.8,148.67,149.4,40996.82097
49,1546477200000,149.4,151.3,149.26,150.89,22237.93294
50,1546480800000,150.88,152.21,150.0,151.03,22251.76863
51,1546484400000,151.08,152.0,150.52,151.78,15488.66056
52,1546488000000,151.78,153.64,151.46,152.22,35124.36592
53,1546491600000,152.22,153.18,150.65,151.72,30412.72705
54,1546495200000,151.78,152.62,151.21,151.93,17449.60747
55,1546498800000,151.93,152.26,151.39,151.8,18531.36884
56,1546502400000,151.76,151.87,147.77,148.51,39764.53147
57,1546506000000,148.51,149.3,145.8,147.99,61315.47225
58,1546509600000,147.98,149.28,147.75,148.28,40589.30995
59,1546513200000,148.28,148.29,144.71,146.5,51622.73343
60,1546516800000,146.53,148.6,145.8,148.33,34800.82622
61,1546520400000,148.35,148.91,147.21,148.29,23979.13868
62,1546524000000,148.29,148.65,146.53,146.85,25925.77556
63,1546527600000,146.85,148.0,145.93,147.74,24234.70215
64,1546531200000,147.74,147.89,143.33,143.95,51086.12263
65,1546534800000,143.95,145.49,143.11,144.65,28751.49942
66,1546538400000,144.55,144.81,143.53,144.52,19245.57729
67,1546542000000,144.51,145.5,144.07,145.26,21841.4282
68,1546545600000,145.26,148.12,144.94,147.89,23790.06668
69,1546549200000,147.88,147.96,145.75,147.13,25145.09622
70,1546552800000,147.12,147.97,145.91,147.79,14822.00758
71,1546556400000,147.79,147.8,145.27,146.3,18683.77703
72,1546560000000,146.3,146.38,143.54,146.14,31485.29668
73,1546563600000,146.14,148.23,146.12,147.6,22598.78032
74,1546567200000,147.6,147.6,145.8,146.81,18207.66562
75,1546570800000,146.82,151.04,146.12,150.77,35889.78791
76,1546574400000,150.77,151.78,149.54,151.29,39640.23511
77,1546578000000,151.28,154.2,150.3,153.11,48742.59898
78,1546581600000,153.11,154.67,152.62,153.33,42393.94804
79,1546585200000,153.33,154.8,152.05,152.6,31718.39432
80,1546588800000,152.6,153.97,150.62,151.17,48164.58168
81,1546592400000,151.17,151.67,149.41,150.29,27366.54802
82,1546596000000,150.26,151.9,149.49,151.82,37803.6913
83,1546599600000,151.85,151.99,149.25,149.34,29137.33989
84,1546603200000,149.38,150.4,148.68,149.78,33166.45826
85,1546606800000,149.78,150.79,148.18,149.38,34873.86073
86,1546610400000,149.38,150.0,144.89,145.88,57277.6845
87,1546614000000,145.97,147.55,144.66,147.11,41916.22253
88,1546617600000,147.1,148.62,146.15,148.04,26369.94845
89,1546621200000,148.03,148.71,146.58,147.25,16885.78515
90,1546624800000,147.24,147.69,146.51,147.05,10193.40939
91,1546628400000,147.05,148.59,146.8,148.31,17561.87159
92,1546632000000,148.31,151.5,147.22,150.96,28298.40569
93,1546635600000,150.87,153.98,150.83,152.68,64775.32926
94,1546639200000,152.7,153.8,151.3,151.98,32998.47538
95,1546642800000,151.98,152.88,150.8,151.97,27782.61941
96,1546646400000,152.08,159.0,151.95,157.78,97098.45199
97,1546650000000,157.84,158.98,155.3,157.64,73708.56155
98,1546653600000,157.68,159.26,156.64,157.4,36963.57603
99,1546657200000,157.4,158.1,156.26,157.56,24835.7788
100,1546660800000,157.56,158.75,156.47,157.0,27077.33652
101,1546664400000,157.0,158.49,156.96,157.68,23075.13132
102,1546668000000,157.7,157.8,153.25,154.51,51175.43869
103,1546671600000,154.51,155.18,152.6,153.14,29057.84509
104,1546675200000,153.13,155.14,153.12,154.16,17647.80926
105,1546678800000,154.17,154.89,153.64,154.19,15675.60973
106,1546682400000,154.2,154.26,152.15,153.74,25739.04751
107,1546686000000,153.74,156.77,153.72,155.92,28025.96908
108,1546689600000,155.92,156.98,155.0,155.22,24438.42244
109,1546693200000,155.25,155.26,153.38,154.83,29925.16555
110,1546696800000,154.84,155.37,153.75,154.64,22053.11608
111,1546700400000,154.61,156.89,154.0,154.17,39954.67388
112,1546704000000,154.18,156.0,152.2,153.84,50469.78342
113,1546707600000,153.85,155.39,153.85,154.66,19571.03691
114,1546711200000,154.66,156.16,154.17,155.5,14927.7271
115,1546714800000,155.52,156.17,153.83,155.64,19732.65394
116,1546718400000,155.69,156.0,155.0,155.47,10347.06482
