,t,o,h,l,c,v
0,1547632800000,0.5355,0.5355,0.5003,0.5066,63365.33
1,1547636400000,0.5146,0.5162,0.498,0.498,153229.7
2,1547640000000,0.498,0.5021,0.4836,0.4887,185102.78
3,1547643600000,0.4887,0.4973,0.4869,0.4869,67053.33
4,1547647200000,0.4914,0.492,0.4668,0.4746,168009.3
5,1547650800000,0.476,0.4845,0.476,0.479,83996.24
6,1547654400000,0.4782,0.4821,0.4677,0.48,78048.67
7,1547658000000,0.482,0.52,0.4791,0.5043,132251.61
8,1547661600000,0.505,0.519,0.5007,0.5016,58508.99
9,1547665200000,0.5,0.51,0.4944,0.5041,67946.15
10,1547668800000,0.5031,0.52,0.5012,0.5127,102787.08
11,1547672400000,0.5097,0.5129,0.5024,0.5117,25010.78
12,1547676000000,0.5077,0.5098,0.4854,0.4858,73998.35
13,1547679600000,0.4862,0.4954,0.4851,0.4895,84352.0
14,1547683200000,0.4895,0.4895,0.4711,0.4711,140573.77
15,1547686800000,0.4711,0.4821,0.4701,0.48,103557.49
16,1547690400000,0.4823,0.485,0.4776,0.4804,35019.29
17,1547694000000,0.4804,0.4844,0.4639,0.4677,110171.68
18,1547697600000,0.4685,0.4745,0.4653,0.4682,57024.8
19,1547701200000,0.4675,0.4802,0.4654,0.4711,35763.96
20,1547704800000,0.4729,0.4807,0.4721,0.4791,30642.75
21,1547708400000,0.4791,0.4877,0.472,0.4724,48521.0
22,1547712000000,0.4738,0.4803,0.4711,0.4795,12886.71
23,1547715600000,0.4787,0.48,0.4736,0.4736,17016.01
24,1547719200000,0.4759,0.4862,0.4703,0.476,27645.93
25,1547722800000,0.4753,0.4753,0.4705,0.4726,24212.52
26,1547726400000,0.4734,0.4753,0.4703,0.4753,8339.26
27,1547730000000,0.4752,0.4819,0.4718,0.4807,11363.83
28,1547733600000,0.4806,0.4938,0.4765,0.4904,45610.61
29,1547737200000,0.4924,0.4953,0.485,0.4874,68042.19
30,1547740800000,0.4874,0.4915,0.4789,0.4836,62680.02
31,1547744400000,0.4825,0.4836,0.473,0.4745,82174.27
32,1547748000000,0.4745,0.4777,0.4706,0.473,162680.61
33,1547751600000,0.4723,0.4748,0.471,0.4735,73935.29
34,1547755200000,0.4735,0.4794,0.4708,0.4775,179212.46
35,1547758800000,0.4789,0.4837,0.4749,0.4751,32775.19
36,1547762400000,0.4752,0.4776,0.4741,0.476,13130.34
37,1547766000000,0.4769,0.4773,0.4724,0.4756,28745.37
38,1547769600000,0.4762,0.4762,0.4718,0.4733,13154.52
39,1547773200000,0.4734,0.475,0.4723,0.4734,16702.52
40,1547776800000,0.4734,0.4757,0.4727,0.4745,4399.2
41,1547780400000,0.4749,0.4756,0.4678,0.4707,18126.01
42,1547784000000,0.4686,0.4707,0.4605,0.4687,53418.31
43,1547787600000,0.4688,0.4692,0.4601,0.4692,81490.77
44,1547791200000,0.4691,0.4729,0.4653,0.4703,14537.79
45,1547794800000,0.471,0.472,0.4674,0.4719,13326.36
46,1547798400000,0.4719,0.4764,0.4668,0.4726,17861.9
47,1547802000000,0.471,0.4744,0.4653,0.4653,10477.64
48,1547805600000,0.4653,0.48,0.4634,0.4728,92561.56
49,1547809200000,0.4765,0.4765,0.4686,0.4688,6241.37
50,1547812800000,0.4686,0.4725,0.4647,0.4653,12905.15
51,1547816400000,0.4653,0.475,0.4653,0.4678,14228.93
52,1547820000000,0.4681,0.4713,0.4658,0.468,5568.18
53,1547823600000,0.4664,0.4739,0.4635,0.471,27974.43
54,1547827200000,0.4718,0.4735,0.4676,0.4679,18087.11
55,1547830800000,0.4679,0.4734,0.4658,0.4658,2165.65
56,1547834400000,0.4656,0.4749,0.4653,0.4749,22472.74
57,1547838000000,0.4728,0.473,0.4693,0.472,36577.9
58,1547841600000,0.472,0.49,0.472,0.4847,86260.15
59,1547845200000,0.4846,0.4959,0.4828,0.4953,148453.25
60,1547848800000,0.494,0.5112,0.4882,0.4961,187156.43
61,1547852400000,0.4982,0.503,0.4868,0.4894,80269.72
62,1547856000000,0.4908,0.4981,0.4871,0.49,29029.37
63,1547859600000,0.4897,0.4918,0.4814,0.4834,60725.78
64,1547863200000,0.4853,0.4872,0.4786,0.4848,17886.04
65,1547866800000,0.4848,0.4848,0.4797,0.4797,9486.97
66,1547870400000,0.4804,0.4825,0.4799,0.4816,4873.21
67,1547874000000,0.4831,0.4937,0.4805,0.4872,32727.28
68,1547877600000,0.4877,0.4906,0.476,0.4777,26814.38
69,1547881200000,0.4777,0.4807,0.4684,0.4758,95831.16
70,1547884800000,0.4747,0.4757,0.4673,0.4712,23457.74
71,1547888400000,0.4705,0.4744,0.4684,0.4744,12810.53
72,1547892000000,0.4746,0.5,0.4724,0.478,149336.78
73,1547895600000,0.4797,0.4856,0.477,0.4813,39416.04
74,1547899200000,0.4829,0.49,0.4812,0.4883,49047.62
75,1547902800000,0.4882,0.4884,0.4811,0.4839,28581.42
76,1547906400000,0.4833,0.4843,0.48,0.4819,19901.33
77,1547910000000,0.4813,0.482,0.48,0.4819,30056.63
78,1547913600000,0.4836,0.4852,0.4785,0.4804,19820.29
79,1547917200000,0.4804,0.483,0.476,0.4805,20107.82
80,1547920800000,0.4824,0.483,0.4773,0.4773,7395.64
81,1547924400000,0.4775,0.4827,0.4768,0.4809,9170.27
82,1547928000000,0.4821,0.4851,0.4797,0.4849,15103.34
