,t,o,h,l,c,v
0,1546300800000,29.92,30.11,29.78,29.96,2558.02973
1,1546304400000,29.97,30.0,29.69,29.74,2332.16565
2,1546308000000,29.76,29.8,29.56,29.72,1664.60778
3,1546311600000,29.73,29.78,29.57,29.78,2367.93766
4,1546315200000,29.73,30.1,29.72,29.92,3736.21356
5,1546318800000,29.94,30.05,29.87,30.01,1124.91274
6,1546322400000,30.01,30.16,29.86,30.12,3115.43425
7,1546326000000,30.14,30.33,30.13,30.24,2410.06686
8,1546329600000,30.24,30.67,30.24,30.47,2510.27912
9,1546333200000,30.47,30.5,30.22,30.23,2608.70081
10,1546336800000,30.24,30.42,30.22,30.34,1264.04515
11,1546340400000,30.35,30.61,30.35,30.41,912.90013
12,1546344000000,30.41,30.69,30.33,30.62,11345.92319
13,1546347600000,30.59,30.79,30.43,30.57,4469.91809
14,1546351200000,30.58,30.59,30.24,30.29,4026.36965
15,1546354800000,30.3,30.37,29.92,30.19,5508.50446
16,1546358400000,30.18,30.5,30.04,30.33,2073.52784
17,1546362000000,30.34,30.42,30.18,30.25,1320.09895
18,1546365600000,30.26,30.29,29.84,29.92,3123.72107
19,1546369200000,29.91,30.51,29.87,30.48,3693.21882
20,1546372800000,30.49,31.62,30.39,31.3,14197.83111
21,1546376400000,31.3,31.62,31.01,31.03,8062.1866
22,1546380000000,31.0,31.3,30.99,31.1,10140.45706
23,1546383600000,31.1,31.8,31.03,31.48,8615.68737
24,1546387200000,31.47,31.68,31.42,31.49,2989.68125
25,1546390800000,31.49,31.64,31.23,31.34,2538.50837
26,1546394400000,31.33,31.66,31.29,31.41,2512.54585
27,1546398000000,31.41,31.64,31.36,31.49,1845.70009
28,1546401600000,31.45,31.53,31.4,31.42,1122.29242
29,1546405200000,31.41,31.5,31.33,31.38,1729.86593
30,1546408800000,31.37,31.37,31.17,31.22,2037.96846
31,1546412400000,31.22,31.58,31.07,31.55,5311.62184
32,1546416000000,31.58,31.89,31.56,31.75,7674.29666
33,1546419600000,31.8,31.91,31.63,31.82,2354.00427
34,1546423200000,31.82,32.25,31.69,32.14,5225.12464
35,1546426800000,32.13,32.48,31.96,32.11,9501.38235
36,1546430400000,32.11,32.17,31.92,32.05,2913.27779
37,1546434000000,32.08,32.43,32.07,32.36,9283.58032
38,1546437600000,32.38,32.44,31.89,32.11,7413.42876
39,1546441200000,32.11,32.17,31.82,31.93,4372.69536
40,1546444800000,31.92,32.7,31.86,32.46,10699.36042
41,1546448400000,32.41,32.52,32.18,32.32,4494.95973
42,1546452000000,32.33,32.39,32.17,32.28,2450.5611
43,1546455600000,32.3,32.5,32.17,32.43,4676.17987
44,1546459200000,32.43,32.68,32.29,32.65,4693.10568
45,1546462800000,32.66,32.93,32.5,32.79,5456.43266
46,1546466400000,32.79,33.04,32.61,32.96,4876.36094
47,1546470000000,32.97,33.29,32.57,32.67,12133.29841
48,1546473600000,32.68,32.8,32.38,32.39,5562.77696
49,1546477200000,32.42,32.61,32.21,32.43,7682.24539
50,1546480800000,32.43,32.57,32.38,32.5,2152.49655
51,1546484400000,32.5,32.55,32.43,32.49,1255.74897
52,1546488000000,32.49,32.72,32.44,32.45,1616.17143
53,1546491600000,32.44,32.5,31.94,32.29,6297.02064
54,1546495200000,32.3,32.53,32.21,32.38,3184.24904
55,1546498800000,32.38,32.5,32.35,32.44,1729.52853
56,1546502400000,32.46,32.46,31.9,31.96,2879.29294
57,1546506000000,31.93,32.07,31.73,31.87,4775.52297
58,1546509600000,31.85,32.1,31.85,32.04,1499.56802
59,1546513200000,32.04,32.04,31.42,31.66,7958.37579
60,1546516800000,31.65,31.73,31.47,31.65,3468.63693
61,1546520400000,31.65,31.75,31.52,31.69,5813.94487
62,1546524000000,31.71,31.72,31.51,31.56,1864.11664
63,1546527600000,31.57,31.64,31.35,31.55,3479.72292
64,1546531200000,31.53,31.57,30.62,30.77,9011.06064
65,1546534800000,30.77,31.08,30.69,30.92,5119.02973
66,1546538400000,30.93,31.06,30.82,30.98,5408.85586
67,1546542000000,30.96,31.06,30.76,30.85,2473.65982
68,1546545600000,30.86,31.27,30.82,31.2,2762.36629
69,1546549200000,31.19,31.3,31.1,31.26,2533.66375
70,1546552800000,31.25,31.48,31.11,31.43,3056.78419
71,1546556400000,31.42,31.46,31.31,31.39,2545.01227
72,1546560000000,31.41,31.41,30.98,31.14,5150.50225
73,1546563600000,31.15,31.55,31.15,31.49,2750.78452
74,1546567200000,31.48,31.48,31.26,31.31,1171.92288
75,1546570800000,31.3,31.77,31.23,31.69,1910.49743
76,1546574400000,31.7,31.87,31.61,31.82,3763.34211
77,1546578000000,31.81,32.15,31.71,32.01,5386.72567
78,1546581600000,32.02,32.53,31.88,32.28,11671.74887
79,1546585200000,32.3,32.4,32.0,32.06,3993.0277
80,1546588800000,32.03,32.16,31.78,31.85,5479.82435
81,1546592400000,31.86,31.99,31.65,31.74,4755.11227
82,1546596000000,31.77,31.94,31.65,31.88,4237.15853
83,1546599600000,31.9,31.96,31.56,31.6,1877.03323
84,1546603200000,31.6,31.72,31.33,31.35,4639.64244
85,1546606800000,31.34,31.52,31.22,31.22,6515.98606
86,1546610400000,31.22,31.35,30.78,30.92,5641.96005
87,1546614000000,30.92,31.27,30.78,31.09,5636.69345
88,1546617600000,31.09,31.44,30.88,31.39,3904.10625
89,1546621200000,31.39,31.62,31.24,31.39,4089.82486
90,1546624800000,31.39,31.39,31.03,31.31,1697.81334
91,1546628400000,31.31,31.51,31.27,31.38,2235.93121
92,1546632000000,31.38,31.87,31.25,31.7,6581.11794
93,1546635600000,31.69,32.09,31.67,31.92,8199.98204
94,1546639200000,31.94,32.08,31.61,31.73,5090.40983
95,1546642800000,31.77,31.94,31.68,31.76,2255.67465
96,1546646400000,31.76,32.73,31.76,32.61,11363.18885
97,1546650000000,32.62,32.88,32.28,32.7,8989.61776
98,1546653600000,32.7,33.0,32.51,32.79,8061.2596
99,1546657200000,32.81,32.82,32.48,32.74,3643.95181
100,1546660800000,32.74,32.97,32.61,32.83,6702.69606
101,1546664400000,32.86,33.2,32.79,33.17,6398.92239
102,1546668000000,33.16,33.2,32.45,32.58,11042.28924
103,1546671600000,32.58,32.62,32.34,32.37,5778.56723
104,1546675200000,32.38,32.89,32.38,32.69,5152.67616
105,1546678800000,32.68,32.8,32.52,32.6,3438.75834
106,1546682400000,32.59,32.74,32.2,32.69,4912.84466
107,1546686000000,32.7,34.24,32.68,33.68,21210.9109
108,1546689600000,33.68,34.19,33.46,34.0,20457.30315
109,1546693200000,34.0,34.18,33.54,34.07,13743.41902
110,1546696800000,34.07,34.92,33.75,34.76,23519.83217
111,1546700400000,34.73,35.62,34.58,35.06,49589.28922
112,1546704000000,35.0,35.95,34.65,35.24,36036.10772
113,1546707600000,35.22,35.9,34.8,34.82,21717.27286
114,1546711200000,34.81,35.24,34.57,34.83,15283.6253
115,1546714800000,34.83,35.4,34.72,35.05,11229.23048
116,1546718400000,35.08,35.28,34.63,34.73,6213.38762
117,1546722000000,34.7,35.28,34.65,35.0,10429.43778
118,1546725600000,34.98,35.14,34.07,34.5,17163.33952
119,1546729200000,34.47,34.66,34.01,34.33,13503.63064
120,1546732800000,34.33,35.1,33.89,34.93,15891.69504
121,1546736400000,34.95,35.14,34.1,34.27,25466.0164
122,1546740000000,34.29,34.89,33.95,34.6,25445.47818
123,1546743600000,34.56,34.91,34.01,34.7,15981.65181
124,1546747200000,34.7,34.81,34.41,34.77,9122.12578
125,1546750800000,34.79,35.82,34.69,35.38,24940.96654
126,1546754400000,35.4,35.43,35.01,35.16,10208.6459
127,1546758000000,35.16,35.25,34.62,34.9,10377.57454
128,1546761600000,34.93,35.02,34.46,34.75,12104.22687
129,1546765200000,34.75,36.01,34.75,35.23,48387.956
130,1546768800000,35.23,37.57,35.18,37.1,71048.45598
131,1546772400000,37.09,37.74,36.93,37.39,57731.23511
132,1546776000000,37.39,38.47,37.03,37.7,56150.57482
133,1546779600000,37.68,37.85,37.07,37.43,27704.22514
134,1546783200000,37.43,37.84,37.21,37.66,21753.61009
135,1546786800000,37.65,38.24,37.64,38.11,39461.56411
136,1546790400000,38.12,38.42,37.72,37.86,23105.27119
137,1546794000000,37.89,39.71,37.88,38.88,77612.70603
138,1546797600000,38.9,39.22,38.26,38.52,32541.3439
139,1546801200000,38.52,38.9,38.4,38.52,18536.95296
140,1546804800000,38.5,38.77,37.55,37.96,44412.03808
141,1546808400000,37.98,38.24,37.82,38.02,41321.68424
142,1546812000000,38.04,38.5,38.0,38.2,15528.60976
143,1546815600000,38.18,38.81,38.16,38.3,36561.49829
144,1546819200000,38.29,39.04,38.28,38.51,25504.81353
145,1546822800000,38.5,38.6,37.81,38.11,23212.10688
146,1546826400000,38.12,38.14,37.28,37.77,20780.94723
147,1546830000000,37.76,38.13,37.65,37.84,26146.99878
148,1546833600000,37.85,38.3,37.8,37.97,13753.41088
149,1546837200000,37.97,38.35,37.92,38.09,10265.67436
150,1546840800000,38.11,38.56,37.94,38.2,12559.21811
151,1546844400000,38.21,38.97,38.18,38.88,19742.84478
152,1546848000000,38.88,38.88,38.4,38.48,16951.03888
153,1546851600000,38.48,38.61,37.08,37.45,46021.52142
154,1546855200000,37.46,38.14,36.53,37.15,42783.65326
155,1546858800000,37.15,37.74,37.12,37.66,15365.85506
156,1546862400000,37.66,37.71,37.14,37.19,12577.86758
157,1546866000000,37.2,37.67,37.14,37.59,8764.13656
158,1546869600000,37.59,37.95,37.47,37.73,15961.27136
159,1546873200000,37.73,37.88,37.31,37.36,11148.13388
160,1546876800000,37.36,37.58,37.14,37.36,9922.47004
161,1546880400000,37.36,37.59,36.76,37.57,29380.14841
162,1546884000000,37.58,37.94,37.34,37.75,18622.86238
163,1546887600000,37.75,37.9,37.44,37.88,13763.54145
164,1546891200000,37.88,37.88,37.48,37.55,11392.85585
165,1546894800000,37.55,37.76,37.51,37.57,6563.47717
166,1546898400000,37.57,37.68,36.79,37.08,21849.51744
167,1546902000000,37.09,37.48,36.91,37.35,11941.55902
168,1546905600000,37.35,38.69,37.3,38.33,38444.48995
169,1546909200000,38.3,38.38,37.83,38.1,16786.21106
170,1546912800000,38.1,38.13,36.91,37.7,33685.49103
171,1546916400000,37.7,37.84,37.39,37.48,9922.98914
172,1546920000000,37.49,37.89,37.32,37.69,13048.47352
173,1546923600000,37.73,37.88,37.6,37.8,4103.97642
174,1546927200000,37.81,38.15,37.67,38.1,8384.37927
175,1546930800000,38.12,38.32,37.82,37.93,10596.34863
176,1546934400000,37.94,38.48,37.85,38.35,13851.35465
177,1546938000000,38.32,39.31,38.28,39.26,37787.69958
178,1546941600000,39.26,39.45,38.88,39.29,18490.83654
179,1546945200000,39.28,39.55,38.87,39.36,22948.89479
180,1546948800000,39.37,39.45,37.57,38.97,31298.82396
181,1546952400000,38.97,40.35,38.97,40.31,39318.03608
182,1546956000000,40.27,40.5,39.79,39.85,51939.18227
183,1546959600000,39.84,40.8,39.46,39.61,34933.18705
184,1546963200000,39.61,39.7,38.76,38.84,39476.09439
185,1546966800000,38.84,39.18,38.45,38.64,30118.91909
186,1546970400000,38.62,38.86,38.54,38.71,9826.60922
187,1546974000000,38.71,39.04,38.62,38.91,7377.63806
188,1546977600000,38.91,39.29,38.75,38.8,15931.51194
189,1546981200000,38.78,38.99,38.63,38.67,9668.75753
190,1546984800000,38.66,38.84,38.49,38.62,10523.53881
191,1546988400000,38.61,39.0,38.6,38.7,14046.72844
192,1546992000000,38.7,39.21,38.68,38.95,19292.27279
193,1546995600000,38.96,39.72,38.72,39.52,21775.90389
194,1546999200000,39.49,39.71,39.21,39.28,13205.20189
195,1547002800000,39.27,39.56,39.14,39.2,20203.12389
196,1547006400000,39.2,39.42,39.12,39.25,10732.50526
197,1547010000000,39.25,39.25,38.81,39.02,12433.56382
198,1547013600000,39.03,39.09,38.63,38.75,9300.00509
199,1547017200000,38.74,39.2,38.62,38.87,9803.79853
200,1547020800000,38.86,38.93,38.61,38.79,9588.84252
201,1547024400000,38.78,39.06,38.61,38.76,9277.7348
202,1547028000000,38.75,38.97,38.65,38.89,5382.88202
203,1547031600000,38.88,39.37,38.81,39.09,13310.04332
204,1547035200000,39.07,39.07,38.62,38.84,10802.19857
205,1547038800000,38.84,38.88,38.0,38.37,31170.24069
206,1547042400000,38.4,38.45,38.01,38.13,17980.32364
207,1547046000000,38.15,38.42,38.02,38.36,11904.99754
208,1547049600000,38.37,38.77,38.34,38.65,15284.78691
209,1547053200000,38.62,38.75,38.37,38.58,5995.0447
210,1547056800000,38.59,38.69,38.44,38.57,3942.73894
211,1547060400000,38.57,38.91,38.47,38.84,7974.80469
212,1547064000000,38.83,38.87,38.45,38.51,8469.13834
213,1547067600000,38.51,38.96,38.34,38.71,15450.84784
214,1547071200000,38.72,38.95,38.41,38.48,18403.00543
215,1547074800000,38.5,38.62,38.08,38.17,10346.1251
216,1547078400000,38.17,38.56,38.14,38.48,9463.00456
217,1547082000000,38.46,38.77,38.42,38.48,8072.65637
218,1547085600000,38.46,38.5,38.29,38.38,2426.2257
219,1547089200000,38.38,38.64,38.29,38.34,5732.77262
220,1547092800000,38.34,38.46,38.3,38.44,4802.61122
221,1547096400000,38.44,38.5,38.27,38.28,8257.91705
222,1547100000000,38.31,38.38,35.0,35.44,96896.04149
223,1547103600000,35.42,35.42,34.64,35.17,45306.75652
224,1547107200000,35.18,35.62,34.76,34.83,26513.51588
225,1547110800000,34.81,34.83,33.34,33.54,50183.66508
226,1547114400000,33.54,34.15,33.41,33.74,25882.8772
227,1547118000000,33.74,34.28,33.63,34.11,11090.92919
228,1547121600000,34.12,34.3,33.7,33.84,9467.60098
229,1547125200000,33.84,33.9,33.0,33.69,23844.85543
230,1547128800000,33.68,33.85,33.25,33.69,23394.98802
231,1547132400000,33.69,34.07,33.57,33.71,10765.88025
232,1547136000000,33.7,33.71,31.0,32.27,63251.17842
233,1547139600000,32.27,32.39,31.95,32.13,31508.54063
234,1547143200000,32.13,32.5,31.96,32.23,15583.02957
235,1547146800000,32.23,33.16,31.54,32.82,47088.46391
236,1547150400000,32.8,33.24,32.67,32.95,33798.83476
237,1547154000000,32.93,33.15,32.66,32.93,12390.83552
238,1547157600000,32.89,32.98,32.44,32.96,10858.49513
239,1547161200000,32.96,33.12,32.67,32.81,8040.7784
240,1547164800000,32.81,33.22,32.24,33.22,17509.17855
241,1547168400000,33.2,33.21,32.73,32.92,6965.14431
242,1547172000000,32.93,33.09,32.51,32.67,14858.09866
243,1547175600000,32.68,32.85,31.51,32.02,37897.31771
244,1547179200000,32.02,32.29,31.58,32.14,22502.55646
245,1547182800000,32.12,32.4,31.83,32.22,11857.38
246,1547186400000,32.24,32.4,32.1,32.32,8043.96142
247,1547190000000,32.31,32.55,32.18,32.49,6512.18668
248,1547193600000,32.49,32.76,32.32,32.48,9242.88374
249,1547197200000,32.49,32.62,32.1,32.14,8454.1507
250,1547200800000,32.17,32.3,31.7,31.98,10277.02205
251,1547204400000,31.98,32.36,31.97,32.31,11121.30292
252,1547208000000,32.31,32.33,31.93,32.01,8888.28184
253,1547211600000,32.01,32.21,31.72,31.81,7451.48754
254,1547215200000,31.81,32.6,31.77,32.22,14423.06082
255,1547218800000,32.21,32.53,31.99,32.01,12868.42827
256,1547222400000,32.03,32.66,31.98,32.41,10592.1477
257,1547226000000,32.39,32.66,32.38,32.55,9402.24924
258,1547229600000,32.57,32.7,32.35,32.53,5890.52032
259,1547233200000,32.54,32.79,32.21,32.23,9021.76538
260,1547236800000,32.23,32.43,32.05,32.21,10916.17888
261,1547240400000,32.23,32.9,32.11,32.27,13374.97521
262,1547244000000,32.27,32.4,31.05,31.16,30491.31656
263,1547247600000,31.18,31.8,29.68,31.49,52620.78669
264,1547251200000,31.48,32.13,31.3,31.92,27474.803
265,1547254800000,31.92,31.94,31.36,31.68,9627.97968
266,1547258400000,31.69,31.76,31.28,31.6,8988.54803
267,1547262000000,31.6,32.0,31.56,31.91,4851.2937
268,1547265600000,31.89,31.92,31.63,31.83,7427.98032
269,1547269200000,31.81,31.95,31.78,31.87,2041.67696
270,1547272800000,31.86,31.9,31.39,31.52,4151.18502
271,1547276400000,31.57,31.75,31.48,31.66,3033.67275
272,1547280000000,31.66,31.75,31.29,31.47,6745.925
273,1547283600000,31.46,31.58,31.3,31.57,4032.56269
