,t,o,h,l,c,v
0,1577836800000,0.01379,0.01384,0.01375,0.01384,2250179.1
1,1577840400000,0.01384,0.01392,0.0138,0.01389,6088706.4
2,1577844000000,0.0139,0.01406,0.0139,0.01399,8102845.3
3,1577847600000,0.01398,0.01399,0.01382,0.01388,3004188.0
4,1577851200000,0.0139,0.01396,0.01388,0.01392,1598647.0
5,1577854800000,0.01392,0.01399,0.0139,0.01394,2513223.8
6,1577858400000,0.01394,0.0141,0.01393,0.01405,9346562.1
7,1577862000000,0.01403,0.01421,0.01402,0.01413,24417249.9
8,1577865600000,0.01414,0.01468,0.01402,0.01468,30641612.8
9,1577869200000,0.01468,0.01487,0.01463,0.01468,49949497.8
10,1577872800000,0.01469,0.01488,0.01459,0.01483,22833012.0
11,1577876400000,0.01483,0.01525,0.01482,0.01508,62775483.2
12,1577880000000,0.01506,0.0155,0.01504,0.01538,64232535.9
13,1577883600000,0.01538,0.01542,0.01517,0.0154,29381352.0
14,1577887200000,0.0154,0.01548,0.01515,0.01521,24899338.2
15,1577890800000,0.0152,0.01532,0.01502,0.01503,30700268.1
16,1577894400000,0.01504,0.01518,0.01503,0.01509,16632369.7
17,1577898000000,0.01511,0.01515,0.01489,0.01498,21144297.3
18,1577901600000,0.01499,0.015,0.01475,0.01485,26748933.9
19,1577905200000,0.01485,0.01496,0.01484,0.01494,9892795.2
20,1577908800000,0.01494,0.01507,0.01487,0.01492,14982108.2
21,1577912400000,0.01493,0.01513,0.01491,0.01508,10404957.5
22,1577916000000,0.01509,0.01509,0.01488,0.01491,11065056.1
23,1577919600000,0.01491,0.01499,0.01488,0.01496,7473007.2
24,1577923200000,0.01498,0.01504,0.01491,0.01504,6490858.2
25,1577926800000,0.01503,0.01526,0.01497,0.01521,13444121.4
26,1577930400000,0.01521,0.01537,0.01498,0.01508,33967654.0
27,1577934000000,0.01508,0.01517,0.01489,0.01494,17996599.5
28,1577937600000,0.01493,0.0152,0.01488,0.01509,15967124.6
29,1577941200000,0.01509,0.01529,0.01505,0.01522,13868417.5
30,1577944800000,0.01522,0.01564,0.0152,0.01557,60549963.1
31,1577948400000,0.01558,0.0157,0.01532,0.01551,34883320.3
32,1577952000000,0.01552,0.01577,0.01547,0.01558,41889092.9
33,1577955600000,0.01561,0.01566,0.0154,0.0156,17161094.9
34,1577959200000,0.01562,0.01566,0.01546,0.01559,15031656.2
35,1577962800000,0.0156,0.01578,0.01548,0.01555,26558754.1
36,1577966400000,0.01555,0.0156,0.01533,0.01534,24541416.4
37,1577970000000,0.01536,0.01545,0.01503,0.01518,46593751.5
38,1577973600000,0.01518,0.01524,0.0151,0.01517,19718561.1
39,1577977200000,0.01518,0.0154,0.01517,0.01527,25082620.2
40,1577980800000,0.01529,0.0153,0.01488,0.0149,30648224.2
41,1577984400000,0.01491,0.01491,0.01428,0.01456,86830022.4
42,1577988000000,0.01454,0.01472,0.01448,0.01468,18705372.1
43,1577991600000,0.01468,0.0148,0.0146,0.0147,22004534.5
44,1577995200000,0.01469,0.01471,0.01455,0.01458,12091285.1
45,1577998800000,0.0146,0.01488,0.01453,0.01476,19417367.2
46,1578002400000,0.01477,0.01486,0.01466,0.01472,20325465.0
47,1578006000000,0.01472,0.01474,0.01453,0.01467,9938368.8
48,1578009600000,0.01466,0.01472,0.01445,0.01458,8163805.6
49,1578013200000,0.0146,0.01462,0.01418,0.01429,24126759.8
50,1578016800000,0.01428,0.01455,0.01417,0.01451,18386970.4
51,1578020400000,0.01451,0.01451,0.01428,0.01438,9194098.7
52,1578024000000,0.01439,0.01499,0.01429,0.01478,33236562.4
53,1578027600000,0.01478,0.01494,0.01467,0.01494,22619267.2
54,1578031200000,0.01493,0.01494,0.01476,0.01482,10175807.0
55,1578034800000,0.01481,0.01493,0.0148,0.01487,5914090.9
56,1578038400000,0.01485,0.0151,0.01485,0.01497,12453375.7
57,1578042000000,0.01499,0.01526,0.01499,0.01522,16982287.7
58,1578045600000,0.01523,0.01543,0.01516,0.01526,45553625.1
59,1578049200000,0.01524,0.0153,0.01513,0.01523,13366554.2
60,1578052800000,0.01522,0.01528,0.01513,0.01518,9612506.4
61,1578056400000,0.01518,0.01523,0.01502,0.01512,13156330.0
62,1578060000000,0.01511,0.01511,0.01486,0.01495,24116807.9
63,1578063600000,0.01495,0.0153,0.0149,0.01523,27844902.1
64,1578067200000,0.01524,0.01532,0.01508,0.0153,32026658.5
65,1578070800000,0.01528,0.01531,0.01507,0.0151,12497810.4
66,1578074400000,0.01513,0.01518,0.015,0.01511,8996267.6
67,1578078000000,0.01512,0.01524,0.01503,0.01521,9528805.6
68,1578081600000,0.01521,0.01526,0.01507,0.01512,4900738.9
69,1578085200000,0.01512,0.01518,0.01496,0.01502,5698500.6
70,1578088800000,0.01502,0.01523,0.01501,0.01512,7189128.2
71,1578092400000,0.01512,0.01517,0.01507,0.01512,5720662.8
72,1578096000000,0.01513,0.0152,0.01506,0.01511,3087454.8
73,1578099600000,0.01513,0.01529,0.01507,0.01526,7890071.7
74,1578103200000,0.01528,0.01531,0.01516,0.01528,7866649.7
75,1578106800000,0.01528,0.01549,0.01525,0.01546,17587154.6
76,1578110400000,0.01549,0.01549,0.0153,0.01532,11791505.6
77,1578114000000,0.0153,0.01537,0.01522,0.01524,10032105.9
78,1578117600000,0.01524,0.01533,0.01524,0.01529,2684522.3
79,1578121200000,0.01528,0.01534,0.01503,0.01511,20123384.7
80,1578124800000,0.01511,0.0153,0.01505,0.01516,14612628.1
81,1578128400000,0.01516,0.0153,0.01515,0.01524,8368079.5
82,1578132000000,0.01524,0.01527,0.0151,0.01515,6264678.8
83,1578135600000,0.01512,0.01514,0.015,0.01512,10030474.0
84,1578139200000,0.01512,0.01512,0.01491,0.01495,10394407.5
85,1578142800000,0.01494,0.01498,0.01473,0.01491,18297052.1
86,1578146400000,0.01493,0.01508,0.01485,0.01503,11165451.8
87,1578150000000,0.01503,0.0151,0.015,0.01507,6183802.6
88,1578153600000,0.01507,0.01507,0.01488,0.01498,6327058.9
89,1578157200000,0.01493,0.01502,0.0149,0.01497,5519068.1
90,1578160800000,0.01498,0.01519,0.01493,0.01498,10032911.7
91,1578164400000,0.01497,0.01513,0.01496,0.01507,5469711.0
92,1578168000000,0.01506,0.01511,0.01482,0.01489,12367286.0
93,1578171600000,0.01487,0.01496,0.01483,0.01487,9421097.4
94,1578175200000,0.01487,0.01493,0.01483,0.01483,5725737.6
95,1578178800000,0.01483,0.01489,0.01475,0.01484,9048751.5
96,1578182400000,0.01482,0.01505,0.0148,0.015,11172064.6
97,1578186000000,0.015,0.0151,0.015,0.01507,8239663.8
98,1578189600000,0.01507,0.01513,0.01506,0.0151,5913138.1
99,1578193200000,0.01513,0.01515,0.01505,0.01515,4728153.7
100,1578196800000,0.01514,0.01516,0.01506,0.01514,5944742.3
101,1578200400000,0.01514,0.01514,0.01496,0.01504,16228349.9
102,1578204000000,0.01504,0.01505,0.01497,0.01502,5520878.2
103,1578207600000,0.01502,0.01509,0.01501,0.01506,1934895.5
104,1578211200000,0.01506,0.01506,0.01496,0.01496,4004319.1
105,1578214800000,0.01497,0.015,0.01485,0.01496,7575064.8
106,1578218400000,0.01496,0.01498,0.01492,0.01493,1243805.9
107,1578222000000,0.01494,0.01495,0.01479,0.01491,11677862.2
108,1578225600000,0.0149,0.01507,0.01489,0.01502,8927547.0
109,1578229200000,0.01501,0.01507,0.01498,0.01498,7149090.5
110,1578232800000,0.01498,0.015,0.01488,0.01491,4984759.2
111,1578236400000,0.01491,0.01495,0.01483,0.01492,11801266.1
112,1578240000000,0.01493,0.01499,0.0149,0.01494,14401297.5
113,1578243600000,0.01494,0.015,0.01491,0.01494,6527487.4
114,1578247200000,0.01494,0.01497,0.0149,0.01493,5292934.2
115,1578250800000,0.01491,0.01501,0.01486,0.01496,8832657.1
116,1578254400000,0.01495,0.01501,0.0149,0.01496,5361201.0
117,1578258000000,0.01495,0.01497,0.01481,0.01482,6610682.6
118,1578261600000,0.01481,0.01487,0.01473,0.01479,15528948.9
119,1578265200000,0.01479,0.01483,0.01464,0.01483,6316490.5
120,1578268800000,0.01482,0.01495,0.01476,0.01492,4770647.8
121,1578272400000,0.01493,0.01496,0.01484,0.01496,4139207.5
122,1578276000000,0.01496,0.01507,0.01482,0.0149,12096509.3
123,1578279600000,0.01489,0.01499,0.01483,0.01496,9619589.3
124,1578283200000,0.01494,0.01503,0.01494,0.015,5852732.1
125,1578286800000,0.015,0.01506,0.01497,0.01503,5573399.5
126,1578290400000,0.01503,0.01505,0.01491,0.01503,6086245.3
127,1578294000000,0.01503,0.01505,0.01489,0.01492,4070637.8
128,1578297600000,0.01491,0.01503,0.0149,0.01495,6739828.7
129,1578301200000,0.01496,0.01505,0.01491,0.01503,9997340.7
130,1578304800000,0.01502,0.01593,0.01502,0.0159,92091532.5
131,1578308400000,0.0159,0.01595,0.01546,0.01556,64940905.7
132,1578312000000,0.01557,0.01562,0.01538,0.01546,21886531.4
133,1578315600000,0.01546,0.0156,0.0153,0.01533,27949746.8
134,1578319200000,0.01536,0.01548,0.01523,0.01544,11430337.6
135,1578322800000,0.01543,0.01559,0.01539,0.01546,14215780.6
136,1578326400000,0.01546,0.01557,0.01536,0.01545,10179151.2
137,1578330000000,0.01544,0.01546,0.01537,0.0154,6330829.6
138,1578333600000,0.0154,0.01547,0.01538,0.01545,6578890.5
139,1578337200000,0.01546,0.0156,0.01546,0.01557,21731694.6
140,1578340800000,0.01557,0.01558,0.01547,0.01553,11186945.9
141,1578344400000,0.01553,0.0156,0.01544,0.01548,6129669.7
142,1578348000000,0.01548,0.01558,0.01526,0.01533,19924866.5
143,1578351600000,0.01533,0.01558,0.01527,0.01554,15025123.3
144,1578355200000,0.01556,0.01569,0.01546,0.01552,24371791.0
145,1578358800000,0.01555,0.01555,0.01544,0.01554,7497812.3
146,1578362400000,0.01554,0.01563,0.0155,0.01558,6825358.9
147,1578366000000,0.01559,0.0156,0.01549,0.01554,5180624.0
148,1578369600000,0.01556,0.01559,0.01543,0.0155,12643978.6
149,1578373200000,0.01547,0.01557,0.01545,0.01556,5975844.4
150,1578376800000,0.01553,0.01564,0.01549,0.01563,3769057.9
151,1578380400000,0.01563,0.01563,0.0155,0.01558,5226576.5
152,1578384000000,0.01558,0.01559,0.01536,0.01545,14715958.3
153,1578387600000,0.01545,0.0155,0.01536,0.01543,3759527.4
154,1578391200000,0.01544,0.0155,0.01531,0.01546,13895909.5
155,1578394800000,0.01547,0.01553,0.01536,0.01543,9615458.6
156,1578398400000,0.01543,0.01547,0.01533,0.01537,8182315.2
157,1578402000000,0.01535,0.01552,0.01524,0.0154,14328030.5
158,1578405600000,0.0154,0.0154,0.0153,0.01533,7576635.3
159,1578409200000,0.01531,0.01533,0.01483,0.01505,31660355.9
160,1578412800000,0.01504,0.01542,0.01495,0.01529,23750217.3
161,1578416400000,0.01532,0.01535,0.0152,0.0153,9745815.9
162,1578420000000,0.01528,0.01531,0.01491,0.01501,47508015.1
163,1578423600000,0.01502,0.01511,0.01476,0.0149,36586650.1
164,1578427200000,0.0149,0.0155,0.01485,0.0152,44876149.7
165,1578430800000,0.01521,0.01524,0.01509,0.01515,11538364.8
166,1578434400000,0.01516,0.01527,0.015,0.0151,8913158.2
167,1578438000000,0.01509,0.01519,0.01497,0.01509,14115024.7
168,1578441600000,0.01508,0.0152,0.01494,0.01507,39321318.1
169,1578445200000,0.01506,0.01529,0.01495,0.01527,20529696.9
170,1578448800000,0.01524,0.01532,0.01506,0.0151,12181134.7
171,1578452400000,0.01508,0.01523,0.015,0.01506,8778390.6
172,1578456000000,0.01506,0.01511,0.01496,0.01509,9835457.4
173,1578459600000,0.01509,0.01517,0.01503,0.01515,5987271.3
174,1578463200000,0.01517,0.01529,0.01509,0.01526,7690585.3
175,1578466800000,0.01526,0.01526,0.01509,0.01514,7339437.2
176,1578470400000,0.01511,0.0153,0.0151,0.0152,7571330.7
177,1578474000000,0.01519,0.0153,0.01517,0.01522,6553670.7
178,1578477600000,0.01521,0.01526,0.01514,0.01517,10554750.5
179,1578481200000,0.01519,0.0152,0.01507,0.0151,12485877.4
180,1578484800000,0.01509,0.01516,0.01498,0.01501,23340123.7
181,1578488400000,0.01503,0.01522,0.01502,0.01508,26835381.7
182,1578492000000,0.01505,0.01509,0.0149,0.01501,11470132.8
183,1578495600000,0.01504,0.01506,0.01497,0.01503,6891453.2
184,1578499200000,0.01501,0.01501,0.01469,0.01481,18575124.9
185,1578502800000,0.01482,0.01499,0.01474,0.01499,21430284.1
186,1578506400000,0.01495,0.015,0.01486,0.01491,8108083.2
187,1578510000000,0.01492,0.01506,0.01476,0.01503,23123276.8
188,1578513600000,0.01504,0.01507,0.01475,0.01486,16958915.1
189,1578517200000,0.01486,0.01492,0.01478,0.01489,9775473.4
190,1578520800000,0.01489,0.01503,0.01485,0.01502,10988603.2
191,1578524400000,0.01501,0.01508,0.01491,0.01499,7492279.3
192,1578528000000,0.015,0.01503,0.01486,0.01494,7373850.0
193,1578531600000,0.01495,0.01514,0.0149,0.01506,9168524.1
194,1578535200000,0.01507,0.01512,0.01499,0.01501,2442536.4
195,1578538800000,0.015,0.015,0.0148,0.01484,12439884.0
196,1578542400000,0.01485,0.01492,0.01473,0.01473,14977419.3
197,1578546000000,0.01473,0.01483,0.01468,0.0147,7121476.3
198,1578549600000,0.01469,0.01476,0.01461,0.0147,8921657.4
199,1578553200000,0.01468,0.01484,0.01464,0.0148,6932710.7
200,1578556800000,0.0148,0.01486,0.01476,0.01478,3503075.6
201,1578560400000,0.01478,0.01481,0.01458,0.0147,11726659.1
202,1578564000000,0.0147,0.01479,0.01462,0.0147,3901194.4
203,1578567600000,0.01469,0.01474,0.01465,0.01474,2973859.1
204,1578571200000,0.01473,0.01475,0.01463,0.01474,5022939.8
205,1578574800000,0.01474,0.01482,0.01472,0.01475,4762265.4
206,1578578400000,0.01475,0.01476,0.01467,0.01473,2975198.6
207,1578582000000,0.01473,0.01488,0.01472,0.01487,4813236.4
208,1578585600000,0.01487,0.0149,0.01464,0.01474,6951247.9
209,1578589200000,0.01474,0.0149,0.0147,0.01482,8892884.6
210,1578592800000,0.01484,0.01487,0.01477,0.01481,3818697.9
211,1578596400000,0.01481,0.01487,0.01472,0.01475,11588154.4
212,1578600000000,0.01475,0.0148,0.0146,0.01463,15101007.3
213,1578603600000,0.01463,0.01463,0.01442,0.01452,12535708.9
214,1578607200000,0.01452,0.01459,0.01443,0.01455,7692372.3
215,1578610800000,0.01453,0.0146,0.01447,0.01459,4247624.2
